,company,bigram,count,Words,portion
0,"EQUIFAX, INC.",credit_report,827,184.7702539,39.47494033
1,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_report,655,188.9832061,37.75216138
2,Experian Information Solutions Inc.,credit_report,696,196.4583333,39.03533371
3,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_report,93,312.9569892,9.946524064
4,"Navient Solutions, LLC.",credit_report,63,264.4920635,6.231454006
5,WELLS FARGO & COMPANY,credit_report,70,277.2142857,8.215962441
6,SYNCHRONY FINANCIAL,credit_report,69,200.2753623,13.01886792
7,JPMORGAN CHASE & CO.,credit_report,82,300.9634146,10.11097411
8,"CITIBANK, N.A.",credit_report,89,270.9662921,8.120437956
9,CAPITAL ONE FINANCIAL CORPORATION,credit_report,98,248.0816327,13.86138614
10,"EQUIFAX, INC.",credit_card,112,200.8839286,5.346062053
11,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_card,96,207.8541667,5.53314121
12,Experian Information Solutions Inc.,credit_card,117,235.1794872,6.561974201
13,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_card,144,303.6875,15.40106952
14,"Navient Solutions, LLC.",credit_card,19,349.5789474,1.879327399
15,WELLS FARGO & COMPANY,credit_card,92,297.5,10.79812207
16,SYNCHRONY FINANCIAL,credit_card,119,243.3781513,22.45283019
17,JPMORGAN CHASE & CO.,credit_card,194,291.814433,23.92108508
18,"CITIBANK, N.A.",credit_card,262,283.3091603,23.90510949
19,CAPITAL ONE FINANCIAL CORPORATION,credit_card,175,272.8685714,24.75247525
20,"EQUIFAX, INC.",make_payment,19,369.6842105,0.906921241
21,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",make_payment,20,248.2,1.152737752
22,Experian Information Solutions Inc.,make_payment,30,405.7333333,1.682557487
23,"BANK OF AMERICA, NATIONAL ASSOCIATION",make_payment,71,505.9859155,7.593582888
24,"Navient Solutions, LLC.",make_payment,132,324.2878788,13.05637982
25,WELLS FARGO & COMPANY,make_payment,80,364.5,9.389671362
26,SYNCHRONY FINANCIAL,make_payment,41,332.7073171,7.735849057
27,JPMORGAN CHASE & CO.,make_payment,51,435.5882353,6.288532676
28,"CITIBANK, N.A.",make_payment,88,348.8977273,8.02919708
